"X","Y","name","class","generationmw","generatornumber"
146.248964079,-41.282616047,"Paloona","Renewable",28,1
146.902997533,-41.1428963559999,"Bell Bay (Bell Bay Three)","Non Renewable",115,3
147.1118721,-41.422632968,"Trevallyn","Renewable",80,4
146.919167801,-41.811484386,"Poatina","Renewable",100,6
146.620699328,-42.253702238,"Lake Echo","Renewable",32.4,1
141.954728672,-38.283516227,"Codrington Wind Farm","Renewable",18.2,14
142.015130942,-38.307938481,"Yambuk Wind Farm","Renewable",30,20
142.184360247,-38.064804309,"Macarthur Wind Farm","Renewable",420,140
142.667478911,-38.063169322,"Mortlake","Non Renewable",566,2
144.894197,-37.841462,"Newport","Non Renewable",500,1
145.118722,-37.9501999999999,"Claytons","Renewable",11,11
145.139635,-37.9732969999999,"Springvale","Renewable",4.2,6
145.269949677,-38.05345276,"Hallam Road","Renewable",8.984,2
146.342783,-38.177015,"Yallourn","Non Renewable",1480,4
146.424923,-38.274626,"Jeeralang B","Non Renewable",228,3
146.426296,-38.275325,"Jeeralang A","Non Renewable",204,4
146.574569,-38.2535999999999,"Loy Yang A","Non Renewable",2180,4
146.58637,-38.256447,"Loy Yang B","Non Renewable",1000,2
146.589166,-38.253622,"Valley Power (Peaking Facility)","Non Renewable",300,6
147.563929505,-37.842859499,"Bairnsdale","Non Renewable",94,2
145.999461532,-36.009409822,"Yarrawonga","Renewable",9,2
147.032622269,-36.106618538,"Hume","Renewable",70,2
140.403311288,-37.76025336,"Canunda Wind Farm","Renewable",46,23
140.415557539,-37.664550618,"Snuggery","Non Renewable",63,3
138.581758,-34.8474629999999,"Dry Creek","Non Renewable",156,3
138.521322,-34.806844,"Torrens Island A","Non Renewable",480,4
138.52262,-34.805171,"Torrens Island B","Non Renewable",800,4
143.889193755,-37.831699812,"Mt Mercer Wind Farm","Renewable",131,NA
143.60373023,-37.3574621769999,"Waubra Wind Farm","Renewable",192,128
143.113971102,-37.389789024,"Challicum Hills Wind Farm","Renewable",52.5,35
145.378983344,-36.321775163,"Shepparton Biogas Generation Plant","Renewable",1.1,NA
147.520579928,-36.55642936,"Dartmouth (Mount Beauty Hydro Scheme)","Renewable",150,1
147.459378113,-36.534396821,"Banimboola","Renewable",12.85,2
146.392105999,-36.912936854,"Lake William Hovell","Renewable",2,1
145.921452358,-37.2220053349999,"Eildon","Renewable",120,4
144.788711,-37.84158,"Laverton North","Non Renewable",312,2
146.64696,-42.507695,"Repulse","Renewable",28,1
145.982832162,-42.740518138,"Gordon","Renewable",432,3
145.534476782,-42.154834584,"John Butters","Renewable",144,1
145.65381993,-41.812870292,"Tribute","Renewable",82.8,1
145.532112,-41.735983,"Bastyan","Renewable",79.9,1
145.13594835,-41.72376958,"Reece","Renewable",238,2
145.646118575,-41.699749738,"Mackintosh","Renewable",79.9,1
146.134909,-41.478738,"Cethana","Renewable",85,1
146.125073,-41.483312,"Wilmot","Renewable",81.6,1
146.263167,-41.350467,"Devils Gate","Renewable",60,1
149.576904971,-35.0590024599999,"Woodlawn Bioreactor","Renewable",7,7
150.551485,-34.8819779999999,"West Nowra (Shoalhaven)","Renewable",1,1
148.291684576,-35.611217729,"Tumut 3","Renewable",1500,6
151.642954,-32.8885329999999,"Summerhill","Renewable",2.2,2
149.14582,-35.395304,"Mugga Lane","Renewable",3.5,3
150.973882,-34.048146,"Lucas Heights II","Renewable",16,11
151.002072,-34.029302,"Lucas Heights I","Renewable",5.39,5
148.305516589,-35.561965103,"Jounama","Renewable",14,1
150.742689,-34.0734399999999,"Jacks Gully","Renewable",2.3,2
149.386125743,-34.697734469,"Gunning","Renewable",47,31
150.831233,-33.702938,"Grange Avenue","Renewable",2,1
121.77778,-33.89271,"Esperance Wind Farm Nine Mile Beach","Renewable",3.6,6
150.861683,-33.812515,"Eastern Creek 2","Renewable",8.984,7
150.853701699,-33.814156962,"Eastern Creek","Renewable",5.4,4
149.54248,-34.5165,"Crookwell Wind Farm","Renewable",4.8,8
149.518568626,-35.1660306209999,"Capital Hill Wind Farm","Renewable",140,67
148.583393,-35.0025199999999,"Burrinjuck Power Station","Renewable",27,3
151.549719,-33.02503,"Awaba","Renewable",1.1,1
138.507884,-34.7980209999999,"Osborne","Non Renewable",180,2
138.505325,-34.7649719999999,"Pelican Point","Non Renewable",478,3
138.522352,-34.779284,"Quarantine","Non Renewable",224,5
139.024570177,-34.5034425929999,"Angaston","Non Renewable",50,30
138.910931499,-34.00102479,"Waterloo Wind Farm","Renewable",111,37
137.705777764,-35.110350449,"Wattle Point Wind Farm","Renewable",90.75,55
138.7383,-33.9030999999999,"Mintaro","Non Renewable",90,1
138.732331658,-33.339733579,"Hallett 1 Brown Hill  Wind Farm","Renewable",94.5,45
138.751659,-33.348652,"Hallett","Non Renewable",228.3,12
138.855159763,-33.522602435,"Hallett 2 Hallet Hill  Wind Farm","Renewable",71.4,34
135.804423826,-34.7003344409999,"Port Lincoln","Non Renewable",73.5,3
135.585172,-34.850861,"Cathedral Rocks Wind Farm","Renewable",66,33
130.866587,-12.554993,"Channel Island","Non Renewable",310,9
130.950223556,-12.577132223,"Weddell","Non Renewable",86,2
128.738325,-16.120132,"Ord River","Renewable",30,4
116.307428299,-33.446357404,"Muja D","Non Renewable",454,2
115.78054,-33.1632499999999,"Kemerton","Non Renewable",260.9,2
115.820403,-31.556798,"Pinjar","Non Renewable",576,9
115.376753983,-30.488190995,"Emu Downs Wind Farm","Renewable",79.2,48
116.261165,-33.342181,"Collie A","Non Renewable",340,1
116.229,-33.331,"Collie (Bluewaters)","Non Renewable",416,2
115.918647,-32.916017,"Wagerup","Non Renewable",380,4
115.766121,-32.2225319999999,"Kwinana Cogeneration","Non Renewable",123,2
115.775376854,-32.1972954349999,"Kwinana High Efficiency Gas Turbine Plant","Non Renewable",200,2
115.775152131,-32.1979528959999,"Kwinana A","Non Renewable",240,2
115.774702186,-32.1992293929999,"Kwinana C","Non Renewable",184,2
115.773679,-32.200119,"Cockburn","Non Renewable",240,2
121.506543,-30.73781,"Kalgoorlie (Parkeston)","Non Renewable",110,3
118.456568473,-31.543177414,"Collgar Wind Farm","Renewable",206,111
118.226997859,-31.542313846,"Merredin","Non Renewable",82,2
115.117698864,-28.8893112919999,"Mungarra","Non Renewable",112,3
114.648482,-28.7701069999999,"Geraldton","Non Renewable",21,1
117.613266999,-23.223260102,"Paraburdoo","Non Renewable",155,4
116.721904,-20.6479849999999,"Dampier","Non Renewable",120,3
116.742,-20.7619999999999,"Yurralyi Maya (Karratha Seven Mile)","Non Renewable",180,4
145.546167,-38.603736,"Wonthaggi Wind Farm","Renewable",12,6
114.9281583,-28.9228511709999,"Walkaway Wind Farm","Renewable",90,54
149.400129582,-34.80498162,"Cullerin Range Wind Farm","Renewable",30,15
138.14017352,-33.7139559409999,"Snowtown Wind Farm North","Renewable",148,47
141.385044,-38.357655,"Cape Bridgewater Wind Farm","Renewable",58,29
145.314186118,-23.552451837,"Barcaldine (Len Wishaw)","Non Renewable",37,1
144.686919,-40.720674,"Bluff Point (Woolnorth) Wind Farm","Renewable",65,37
144.736204,-40.7787539999999,"Studland Bay (Woolnorth) Wind Farm","Renewable",75,25
145.783725,-35.604347,"The Drop","Renewable",3,1
151.244202,-29.3886259999999,"Pindari","Renewable",6.7,2
146.262883046,-42.2685867229999,"Nieterana","Renewable",2.2,1
142.546724791,-37.687059501,"Oakland Hills Wind Farm","Renewable",67,32
145.235026,-36.479261,"Tatura Biogas Generation Plant","Renewable",1.1,NA
148.633250107,-36.4351496749999,"Jindabyne Dam Mini Hydro","Renewable",1.1,1
138.729595542,-33.309259942,"North Brown Hill  Wind Farm","Renewable",132.3,63
138.119175192,-33.508567709,"Clements Gap Wind Farm","Renewable",57,27
148.947306,-33.980989,"Wyangala A","Renewable",20,1
149.19821,-33.62189,"Blayney Wind Farm","Renewable",9.9,15
149.571605779,-35.086059701,"Woodlawn Wind Farm","Renewable",48,23
153.327607,-27.733449,"Rocky Point Sugar Sugar Mill","Renewable",30,1
136.703895751,-33.625509716,"Mount Millar Wind Farm","Renewable",70,35
140.419499076,-37.814894018,"Lake Bonney Stage 2 Wind Farm","Renewable",159,53
117.797695,-35.0641469999999,"Albany Wind Farm","Renewable",21.6,12
144.590179,-37.937488,"Wyndham","Renewable",1,1
145.048704,-37.582957,"Wollert","Renewable",6.738,2
152.823743,-27.659014,"Whitwood Road","Renewable",1,1
146.344132,-38.6450599999999,"Toora Wind Farm","Renewable",21,12
152.659295,-27.6801639999999,"Ti Tree Bioenergy","Renewable",3.3,NA
146.392263,-38.2731029999999,"Hazelwood","Non Renewable",1600,8
147.16571257,-38.223581704,"Longford","Non Renewable",31,6
144.855322,-38.391631,"Mornington","Renewable",1,1
145.86052,-37.32722,"Rubicon","Renewable",13.55,1
144.953077,-37.6318219999999,"Somerton","Non Renewable",160,4
144.944365,-37.8297939999999,"Symex Port Melbourne","Non Renewable",5.9,NA
147.228033995,-36.80546098,"Bogong (Mount Beauty Hydro Scheme)","Renewable",300,8
147.220466,-36.7852809999999,"Clover","Renewable",30,2
147.234542,-36.858394,"McKay Creek (Mount Beauty Hydro Scheme)","Renewable",150,6
147.186048,-36.7600659999999,"West Kiewa (Mount Beauty Hydro Scheme)","Renewable",62,2
148.136247,-36.2423439999999,"Murray 2","Renewable",552,4
148.190095,-36.2467129999999,"Murray 1","Renewable",950,10
141.6208504,-38.39759342,"Cape Sir William Grant Wind Farm","Renewable",54,27
141.543,-38.411999951,"Cape Nelson South Wind Farm","Renewable",44,22
141.542959,-38.3676369999999,"Cape Nelson North Wind Farm","Renewable",22,11
143.846918,-37.559607,"Ballarat Base Hospital","Non Renewable",3,NA
144.182789,-38.3860559999999,"Anglesea","Non Renewable",165,1
147.155425,-41.395049,"Remount","Renewable",2.2,2
146.534709,-42.427176,"Wayatinah","Renewable",38.3,3
146.456543,-42.2966709999999,"Tungatinah","Renewable",125,5
146.793785,-41.9707319999999,"Tods Corner","Renewable",1.7,1
146.457156,-42.301208,"Tarraleah","Renewable",90,6
146.845676,-42.6111989999999,"Meadowbank","Renewable",40,1
146.50989,-42.376317,"Liapootah","Renewable",87.3,3
146.681162321,-42.50642303,"Cluny","Renewable",17,1
146.597686664,-42.4523811459999,"Catagunya","Renewable",48,2
146.261758099,-42.26689751,"Butlers Gorge","Renewable",14.4,1
146.217592858,-41.7295230789999,"Rowallan","Renewable",10.5,1
145.526109462,-42.0147199429999,"Lower Lake Margaret","Renewable",3.2,1
146.139022,-41.603763,"Lemonthyme","Renewable",81.6,1
145.543699,-42.004567,"Upper Lake Margaret","Renewable",8.4,7
146.268683946,-41.673192587,"Fisher","Renewable",43.2,1
146.903636243,-41.140124704,"Tamar Valley","Non Renewable",390,5
147.401591,-19.6421549999999,"Inkerman Sugar Mill","Renewable",10.5,2
149.159097,-21.1445659999999,"Mackay","Non Renewable",30,1
148.840199,-26.5772009999999,"Roma","Non Renewable",80,2
152.814452112,-27.660065457,"Swanbank B","Non Renewable",480,4
153.03435,-27.338768,"Roghan Road","Renewable",2,1
153.123634,-27.559117,"Rochedale","Renewable",4,4
149.215912,-21.4282229999999,"Plane Creek Sugar Mill","Renewable",14,2
153.066346,-27.672131,"Browns Plains","Renewable",2.2,2
144.831876,-37.817967,"Brooklyn","Renewable",2.83,2
145.266461,-38.119702,"Berwick","Renewable",7.2,2
144.966319,-37.687786,"Broadmeadows","Renewable",12.2,7
146.413722,-38.25456,"Energy Brix","Non Renewable",195,5
146.801085,-37.9047449999999,"Lake Glenmaggie","Renewable",4,2
145.5306,-17.5921999999999,"Windy Hill Wind Farm","Renewable",12,20
138.143238,-35.567765,"Starfish Hill Wind Farm","Renewable",34.5,23
147.330801,-19.557465,"Pioneer Sugar Mill","Renewable",67.8,2
147.950655405,-21.896655256,"Moranbah North","Non Renewable",45.7,15
145.603362,-17.831284,"Koombooloomba","Renewable",7.3,1
147.106526,-19.516697,"Invicta Sugar Mill","Renewable",150,3
152.609153,-27.395212,"Wivenhoe","Renewable",4.7,1
138.711226,-34.839323,"Terminal Storage","Renewable",2.5,1
152.698102,-26.226125,"Suncoast Gold Macadamia","Renewable",1.5,1
128.40308,-16.716157,"Argyle Diamond Mine","Non Renewable",32,NA
119.732,-22.3989999999999,"Christmas Creek Iron Ore Mine","Non Renewable",58,NA
120.577613,-26.371212,"Jundee Gold Mine","Non Renewable",21,6
121.32929,-28.923754,"Murrin Murrin (Nickel Mine)","Non Renewable",78,3
119.450757,-25.311002,"Plutonic Gold Mine","Non Renewable",28,4
122.439284535,-29.092683436,"Sunrise Dam","Non Renewable",28.4,24
120.251884,-26.631568,"Wiluna Gold Mine","Non Renewable",21,3
117.613674438,-23.2238235419999,"Paraburdoo (Standby)","Non Renewable",20,3
122.209103,-21.712911,"Telfer Gold Mine","Non Renewable",159,3
138.765864,-34.550857,"Amcor Gawler","Non Renewable",4,NA
138.491006821,-35.1096685539999,"Lonsdale","Non Renewable",20,18
138.502094,-35.202321,"Pedler Creek","Renewable",3,3
138.557247,-34.83482,"Wingfield I","Renewable",5,5
138.548903,-34.832081,"Wingfield II","Renewable",5,5
140.782692,-37.456673,"Ladbroke Grove","Non Renewable",80,2
137.78188,-32.539279,"Playford B","Non Renewable",240,4
137.788204203,-32.5432541879999,"Northern","Non Renewable",530,2
130.919476,-12.4261759999999,"Berrimah","Non Renewable",10,1
152.817938156,-27.6553743109999,"Swanbank E","Non Renewable",385,1
152.6320276,-27.372221394,"Wivenhoe Hydroelectric","Renewable",500,2
145.646495,-16.850199,"Barron Gorge","Renewable",60,2
150.905336915,-27.110934028,"Braemar 1","Non Renewable",504,3
150.904878261,-27.112811268,"Braemar 2","Non Renewable",519,3
150.270014465,-26.6682222119999,"Condamine A","Non Renewable",144,3
150.943005459,-27.086319967,"Daandine","Non Renewable",33,11
148.551497,-22.928147,"German Creek","Non Renewable",45.2,16
151.218653,-23.8507529999999,"Gladstone","Non Renewable",1680,6
152.208556,-25.1939859999999,"Isis Central Sugar Mill","Renewable",25,4
147.415237,-19.5223389999999,"Kalamia Sugar Mill","Renewable",9,1
145.577865,-17.7670019999999,"Kareeya","Renewable",88,5
150.749283333,-26.917683333,"Kogan Creek","Non Renewable",744,1
151.278949,-27.961542,"Millmerran","Non Renewable",856,2
148.024647162,-21.9851302079999,"Moranbah","Non Renewable",12.56,NA
146.851170546,-19.337998351,"Mount Stuart","Non Renewable",423,2
151.679705348,-27.418340164,"Oakey","Non Renewable",282,2
148.581702,-22.9877759999999,"Oaky Creek","Non Renewable",20,16
150.319466,-23.50972,"Stanwell","Non Renewable",1460,4
151.917164,-26.785767,"Tarong","Non Renewable",15,1
151.9146017,-26.775762588,"Tarong North","Non Renewable",443,1
151.91527317,-26.782357507,"Tarong","Non Renewable",1400,4
146.618707,-19.2010559999999,"Townsville","Non Renewable",220,2
151.15193,-23.8306449999999,"Yarwun","Non Renewable",154,NA
146.257961,-18.5890429999999,"Macknade Sugar Mill","Renewable",8,2
146.201627,-18.6508039999999,"Victoria Sugar Mill","Renewable",24,3
150.618181,-24.3449459999999,"Callide C","Non Renewable",840,2
150.619749,-24.3448799999999,"Callide B","Non Renewable",700,2
150.627973,-24.3340249999999,"Callide A","Non Renewable",30,4
147.804887,-20.544682,"Collinsville","Non Renewable",190,5
122.204602,-17.9810269999999,"Broome","Non Renewable",39.6,17
116.782147,-20.6286489999999,"Burrup Peninsula (Karratha Gas Plant)","Non Renewable",240,NA
116.78015,-20.5936799999999,"Burrup Peninsula (Pluto Phase 1)","Non Renewable",160,NA
121.8998,-33.8762,"Esperance","Non Renewable",33,7
116.837473,-20.7625669999999,"Karratha","Non Renewable",86,2
115.779676,-32.1946349999999,"Kwinana (Alcoa Refinery)","Non Renewable",74.5,7
115.775945504,-32.197002637,"Kwinana","Non Renewable",21,1
115.772821,-32.2019799999999,"Kwinana NewGen","Non Renewable",320,1
115.778276905,-32.224258329,"Kwinana Swift","Non Renewable",120,4
115.802149,-31.6712499999999,"Neerabup","Non Renewable",330,7
119.708587,-23.344275,"Newman Iron Ore Mine","Non Renewable",170,4
115.946894,-32.647303,"Pinjarra Bauxite Mine and Alumina Refinery","Non Renewable",280,2
120.36,-33.61,"Ravensthorpe","Non Renewable",56,NA
115.916995,-32.9144949999999,"Wagerup Bauxite Mine and Alumina Refinery","Non Renewable",98,4
121.423355,-30.780635,"West Kalgoorlie","Non Renewable",60,2
118.5498,-20.4283,"Port Hedland","Non Renewable",126,3
117.832710977,-28.087084338,"Mount Magnet","Non Renewable",1.9,NA
121.484188,-30.8736689999999,"Kalgoorlie Nickel Smelter","Non Renewable",42,1
121.67408425,-31.191934794,"Kambalda","Non Renewable",42,1
120.698996322,-27.814121379,"Leinster Nickel Mine","Non Renewable",59,1
120.547979,-27.2145829999999,"Mount Keith Nickel Mine","Non Renewable",112,2
116.306183321,-33.4460465669999,"Muja C","Non Renewable",400,2
116.063737728,-33.2365458969999,"Worsley Cogeneration","Non Renewable",106,2
122.415029,-28.809649,"Laverton (Granny Smith Gold Mine)","Non Renewable",30.6,10
153.43411,-28.313802,"Condong Sugar Mill","Renewable",30,1
150.772181,-34.208185,"Appin (Mine)","Non Renewable",55.6,54
150.94913,-32.39527,"Bayswater","Non Renewable",2640,4
150.46687,-34.73369,"Bendeela (Shoalhaven Scheme)","Renewable",240,4
148.246272,-35.3986009999999,"Blowering","Renewable",70,1
153.433481,-29.011828,"Broadwater","Renewable",38,2
149.474042213,-36.595089768,"Brown Mountain","Renewable",4.95,5
151.481305,-32.789723,"Capral (Aluminium Smelter)","Non Renewable",300,3
151.544785,-33.209869,"Colongra","Non Renewable",724,4
150.031322308,-33.358892232,"Mt Piper","Non Renewable",1400,2
151.541837,-33.211691,"Munmorah","Non Renewable",600,2
152.741708,-29.925738,"Nymboida","Renewable",33.6,7
152.06897,-30.575119,"Oaky","Renewable",4.8,5
151.071936,-32.580206,"Redbank","Non Renewable",150,1
150.949466,-33.85004,"Smithfield Energy","Non Renewable",170.9,3
150.58077,-34.248233,"Tahmoor","Non Renewable",7,7
150.808056,-34.522778,"Tallawarra","Non Renewable",460,1
151.611907,-32.9454899999999,"Teralba","Non Renewable",3,4
